Contig	Len_ctg	len_gff	coverage
NODE_8363_length_413_cov_1.02098	413	30	7.264
NODE_8365_length_413_cov_1.0979	413	407	98.547
NODE_8366_length_413_cov_0.755245	413	35	8.475
NODE_8372_length_413_cov_0.923077	413	103	24.939
NODE_8375_length_413_cov_0.699301	413	18	4.358
NODE_8381_length_352_cov_0.568889	352	351	99.716
NODE_8382_length_350_cov_0.744395	350	346	98.857
NODE_8383_length_330_cov_0.669951	330	323	97.879
NODE_8384_length_330_cov_0.778325	330	329	99.697
NODE_8386_length_303_cov_0.488636	303	299	98.680
NODE_8388_length_256_cov_54.8992	256	248	96.875
NODE_8390_length_254_cov_47.5906	254	251	98.819
NODE_8391_length_253_cov_61.7381	253	154	60.870
NODE_8392_length_253_cov_95.0635	253	141	55.731
NODE_8393_length_253_cov_48.9524	253	125	49.407
NODE_8394_length_252_cov_86.872	252	124	49.206
NODE_8395_length_248_cov_49.8017	248	247	99.597
NODE_8396_length_242_cov_51.5826	242	47	19.421
NODE_8399_length_206_cov_54.557	206	125	60.680
NODE_8404_length_179_cov_37.5769	179	74	41.341
NODE_8411_length_167_cov_595.025	167	166	99.401
NODE_8417_length_155_cov_60.1429	155	122	78.710
NODE_8419_length_152_cov_1186.4	152	151	99.342
NODE_8423_length_141_cov_641.071	141	138	97.872
NODE_8425_length_136_cov_65.6667	136	134	98.529
NODE_8426_length_135_cov_98.375	135	134	99.259
NODE_8427_length_133_cov_8	133	132	99.248
NODE_8428_length_132_cov_46.2	132	131	99.242
NODE_8430_length_132_cov_4793.8	132	131	99.242
NODE_8431_length_131_cov_4.75	131	130	99.237
NODE_8432_length_131_cov_11	131	130	99.237
NODE_8433_length_131_cov_676.5	131	130	99.237
NODE_8434_length_130_cov_16	130	129	99.231
NODE_8435_length_130_cov_17.3333	130	129	99.231
NODE_8436_length_129_cov_23.5	129	128	99.225
NODE_8437_length_128_cov_94	128	127	99.219
NODE_8438_length_128_cov_623	128	127	99.219
NODE_8439_length_128_cov_609	128	127	99.219
NODE_8440_length_128_cov_4795	128	127	99.219
NODE_8441_length_128_cov_4745	128	127	99.219
NODE_8442_length_128_cov_4842	128	127	99.219
NODE_8443_length_128_cov_58000	128	127	99.219
Total	48959890	11111713	22.696
